language,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
Estonian,0,9.699321047526673e-4,0,0,0,0.7332657200811359,0.0010351966873706005,0,0,0,0.0010030090270812437,0,0,0.00202020202020202,0,0,0,0,0,0,0,0,0,0,0,0.001,9.407337723424271e-4
English,0.02147239263803681,0.008729388942774006,0.014227642276422764,0.02349336057201226,0.009204470742932281,0.007099391480730223,0.839544513457557,0.005030181086519115,0.009054325955734407,0.013415892672858616,0.02708124373119358,0.009784735812133072,0.05835010060362173,0.012121212121212121,0.003964321110009911,0.033932135728542916,0.00796812749003984,0.052941176470588235,0.012770137524557957,0.0053590568060021436,0.027327935222672066,0.0019723865877712033,0.015717092337917484,0.009009009009009009,0.018090452261306532,0.014,0.00940733772342427
Finnish,0,0,0,0.0010214504596527069,0,0.006085192697768763,0,0,0,0.0030959752321981426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.00658513640639699
French,0.37525562372188137,0,0.003048780487804878,0.0010214504596527069,0.0039447731755424065,0,0.005175983436853002,0.001006036217303823,0.008048289738430584,0.9205366357069144,0.004012036108324975,0.0029354207436399216,0.002012072434607646,0,0,0.17564870259481039,0,0.00392156862745098,9.823182711198428e-4,0.006430868167202572,0,0.0039447731755424065,0,0,0,0,0
Frisian,0,0,0.0010162601626016261,0,6.574621959237344e-4,0,0,0,0,0,0,9.784735812133072e-4,0,0,0,0,0,0,0.0137524557956778,0,0,0,0,0,0,0,0
Friulian,0,0,0,0,0,0,0,0,0,0,0,9.784735812133072e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galician,0,0,0,0.0010214504596527069,0.0019723865877712033,0,0,0,0.03722334004024145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greek,0.003067484662576687,0,0,0.0010214504596527069,6.574621959237344e-4,0,0,0.9567404426559356,0.001006036217303823,0,0.0010030090270812437,9.784735812133072e-4,0.9074446680080482,0,0,0.005988023952095809,0,0.00392156862745098,0,0.0010718113612004287,0,0,0,0,0,0,0
German,0.00408997955010225,0,0.00508130081300813,0.007150153217568948,0.8809993425378041,0,0.004140786749482402,0.002012072434607646,0.002012072434607646,0.0030959752321981426,0.004012036108324975,0.007827788649706457,0.002012072434607646,0.00101010101010101,0,0.06986027944111776,9.9601593625498e-4,0,0,0.909967845659164,0.0010121457489878543,9.861932938856016e-4,0,0.005005005005005005,0.010050251256281407,0.004,0.00658513640639699
Hungarian,0.0010224948875255625,0,0,0,6.574621959237344e-4,0.0010141987829614604,0.005175983436853002,0,0,0,0,0,0,0,0,0,0.9870517928286853,0.00196078431372549,0,0.006430868167202572,0,0,0.0618860510805501,0.001001001001001001,0.08241206030150754,0,0.0018814675446848542
Irish/Gaelic,0,0,0,0,0,0.0010141987829614604,0.041407867494824016,0,0,0,0,0,0,0,0,0.001996007984031936,0,0,0,0,0,0,0,0,0,0,0
Italian,0.013292433537832311,0,0.0010162601626016261,0.0010214504596527069,0.007232084155161078,0,0.002070393374741201,0.001006036217303823,0.0030181086519114686,0.0030959752321981426,0.0020060180541624875,0.9432485322896281,0,0,0,0.031936127744510975,0,0.00392156862745098,0,0.0053590568060021436,0,0,0,0,0.0010050251256281408,0.001,0.0018814675446848542
Japanese,0,0,0,0,0,0,0,0,0,0,0,0,0.002012072434607646,0.00202020202020202,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurdish,0.002044989775051125,0,0,0,0.0026298487836949377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365422396855,0,0,0,0,0,0,0,0.0028222013170272815
Latvian,0,0,0,0,0,0.0010141987829614604,0.0010351966873706005,0,0,0,0,0,0,0.7111111111111111,9.910802775024777e-4,0,0,0,0,0,0,0,0,0,0,0,0
Lithuanian,0,0,0,0,0,0,0.013457556935817806,0,0,0,0,0,0,0.00808080808080808,0.9207135777998018,0.003992015968063872,0,0,0,0.0010718113612004287,0,0,0,0,0,0,0
Low German,0.010224948875255624,0,0,0,0,0,0,0,0,0,0,9.784735812133072e-4,0,0,0,0,0,0,0.007858546168958742,0,0,0,0,0,0,0,0
Luxembourgish,0.0010224948875255625,0,0,0,0,0,0,0,0,0,0,9.784735812133072e-4,0,0,0,0.3812375249500998,0,0,0,0,0,0,0,0,0,0,0
Maltese,0,0,0,0,0.0013149243918474688,0,0,0,0,0,0,9.784735812133072e-4,0,0.00101010101010101,0,0.001996007984031936,0,0.9137254901960784,0,0,0,0,0,0,0,0,0
Occitan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,0.005112474437627812,0,0.0010162601626016261,0,0.01775147928994083,0,0.027950310559006212,0.002012072434607646,0.001006036217303823,0.0030959752321981426,0,0.0019569471624266144,0,0.00404040404040404,0.03468780971258672,0.005988023952095809,0,0.00196078431372549,0,0.003215434083601286,0.9665991902834008,9.861932938856016e-4,0,0,0.0020100502512562816,0.001,0.0037629350893697085
Portuguese,0.005112474437627812,0,0,0,0,0,0.007246376811594203,0,0.002012072434607646,0.013415892672858616,0,0,0,0,0,0.19560878243512975,9.9601593625498e-4,0.00196078431372549,9.823182711198428e-4,0.0010718113612004287,0.0010121457489878543,0.9822485207100592,0,0,0,0,0
Romanian,0.00408997955010225,9.699321047526673e-4,0,0.0010214504596527069,0.005917159763313609,0.0010141987829614604,0.013457556935817806,0.002012072434607646,0.011066398390342052,0.0030959752321981426,0,0.00684931506849315,0.012072434607645875,0.00101010101010101,0,0.011976047904191617,0,0.00392156862745098,0,0.0010718113612004287,0,9.861932938856016e-4,0.9155206286836935,0,0,0,0
Romany,0,0.04267701260911736,0.003048780487804878,0,0,0,0.0010351966873706005,0,0.001006036217303823,0,0,0,0,0.00101010101010101,0,0,9.9601593625498e-4,0,0,0,0,0,0.004911591355599214,0.001001001001001001,0.004020100502512563,0,0
Russian,0.009202453987730062,0.002909796314258002,0,0.0020429009193054137,0.009204470742932281,0.24239350912778904,0.003105590062111801,0.004024144869215292,0,0.0010319917440660474,0.0010030090270812437,0,0.012072434607645875,0.2505050505050505,0.03964321110009911,0.00998003992015968,0,0.0058823529411764705,0,0,0.0010121457489878543,9.861932938856016e-4,9.823182711198428e-4,0,0.004020100502512563,0.003,0
