BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,language
0.0011474469305794606,0,0,0,3.8066235249333843e-4,5.411255411255411e-4,0,0,0,0,0,6.770480704129993e-4,0,0,0,0.23676323676323677,0,0,0,0,0,0,0,0,0,0,0,Luxembourgish
0,0,0,0,7.613247049866769e-4,5.411255411255411e-4,0,0,0,0,0,6.770480704129993e-4,0,5.178663904712584e-4,0,9.99000999000999e-4,0,0.4963805584281282,0,0,0,0,0,0,0,0,0,Maltese
0,0,0,0,0,0,0,0,6.385696040868455e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Occitan
0.006310958118187034,0,0.006806930693069307,5.230125523012552e-4,0.011039208222306814,0.0010822510822510823,0.021152443471918306,0.0012698412698412698,6.385696040868455e-4,0.002012072434607646,0,0.0013540961408259986,0,0.004142931123770067,0.0368,0.002997002997002997,7.158196134574087e-4,0.001034126163391934,0,0.0019305019305019305,0.7262443438914027,6.734006734006734e-4,0,0,0.0028968713789107765,5.399568034557236e-4,0.0019193857965451055,Polish
0.004589787722317842,6.289308176100629e-4,0,0,3.8066235249333843e-4,0,0.007293946024799417,0,0.005747126436781609,0.01341381623071764,0,0,0,0,0,0.10789210789210789,7.158196134574087e-4,0.001034126163391934,9.886307464162135e-4,0.0019305019305019305,7.541478129713424e-4,0.6767676767676768,0,0,0,5.399568034557236e-4,0.0014395393474088292,Portuguese
0.004016064257028112,0.0012578616352201257,0,5.230125523012552e-4,0.004187285877426722,5.411255411255411e-4,0.009482129832239242,0.0025396825396825397,0.0070242656449553,0.002012072434607646,0,0.004739336492890996,0.006726457399103139,5.178663904712584e-4,0,0.005994005994005994,7.158196134574087e-4,0.002068252326783868,0,0.001287001287001287,0,6.734006734006734e-4,0.7073699421965318,0,0,0,9.596928982725527e-4,Romanian
0,0.030817610062893082,0.0018564356435643563,0,0,0,0.0014587892049598833,0,6.385696040868455e-4,0,6.273525721455458e-4,6.770480704129993e-4,0,5.178663904712584e-4,0,0,0.00572655690765927,0,0,6.435006435006435e-4,0,0,0.006502890173410405,5.221932114882506e-4,0.00869061413673233,0,0,Romany
0.0051635111876075735,0.06792452830188679,0.03650990099009901,0.0010460251046025104,0.011419870574800152,0.2840909090909091,0.005835156819839533,0.007619047619047619,6.385696040868455e-4,0.0013413816230717639,0.0056461731493099125,0.0013540961408259986,0.008968609865470852,0.3697566027964785,0.2576,0.005994005994005994,0.005010737294201861,0.0031023784901758012,0,6.435006435006435e-4,0.026395173453996983,6.734006734006734e-4,0.002890173410404624,5.221932114882506e-4,0.03360370799536501,0.005399568034557235,4.798464491362764e-4,Russian
0,0,0,0,0,5.411255411255411e-4,0,0,0,0,0,0,0,0,0,0,0,0,4.943153732081067e-4,0,0,0,0,0,0,0,4.798464491362764e-4,Sami
5.737234652897303e-4,0,0,0,0,0,0,0,0,0,0.0012547051442910915,0.012863913337846988,0,0,0,0,0,0,4.943153732081067e-4,0,0,0,0,0,0,0,0,Sardinian
0,0.0018867924528301887,0,0.0015690376569037657,0.001903311762466692,0,7.293946024799417e-4,0,0,6.706908115358819e-4,0.04956085319949812,0,0,5.178663904712584e-4,0,0.008991008991008992,0.0014316392269148174,0,0,0.006435006435006435,0,0,0.001445086705202312,0.04908616187989556,0,0.0010799136069114472,9.596928982725527e-4,Serbian/Bosnian/Montenegrin
5.737234652897303e-4,0,0.0525990099009901,0,7.613247049866769e-4,5.411255411255411e-4,0.00437636761487965,0,0,0,0.0056461731493099125,0,0,0,0,0,7.158196134574087e-4,0,0,0.0032175032175032173,0,0,0,5.221932114882506e-4,0.5451911935110081,0,0,Slovak
0,0,0.0012376237623762376,0,7.613247049866769e-4,0,7.293946024799417e-4,0,0,0,0.0075282308657465494,0.003385240352064997,0,0,0,0,0,0,0,0.0032175032175032173,0,0,0,0.5023498694516971,0.0017381228273464658,0,0,Slovenian
0.01835915088927137,0.005031446540880503,0.003094059405940594,0.0020920502092050207,0.009135896459840122,5.411255411255411e-4,0.031363967906637494,0.0019047619047619048,0.6079182630906769,0.039570757880617036,0.0018820577164366374,0.012186865267433988,0.0011210762331838565,0.0010357327809425167,5.333333333333334e-4,0.02097902097902098,0.0035790980672870437,0.002068252326783868,0.007414730598121601,0.005791505791505791,0.003770739064856712,0.022895622895622896,0.007947976878612716,0.0020887728459530026,0.0017381228273464658,0.0010799136069114472,0.012955854126679463,Spanish
5.737234652897303e-4,0,6.188118811881188e-4,0.0036610878661087866,3.8066235249333843e-4,0.0010822510822510823,7.293946024799417e-4,0,0,0,0.0012547051442910915,6.770480704129993e-4,0.0011210762331838565,0.0010357327809425167,0,0,7.158196134574087e-4,0.001034126163391934,0.0014829461196243204,6.435006435006435e-4,0,6.734006734006734e-4,0,5.221932114882506e-4,0,0.06533477321814254,0.4990403071017274,Swedish
0.0011474469305794606,0.06415094339622641,0,0,0.011419870574800152,0.0010822510822510823,7.293946024799417e-4,0.014603174603174604,0,0.002012072434607646,0.0018820577164366374,6.770480704129993e-4,0.0011210762331838565,0,0,0,7.158196134574087e-4,0,9.886307464162135e-4,0.012226512226512226,0,0,7.22543352601156e-4,5.221932114882506e-4,0,0,0,Turkish
5.737234652897303e-4,0,0.0012376237623762376,0,0.0011419870574800152,0.00487012987012987,0,6.349206349206349e-4,6.385696040868455e-4,0.0013413816230717639,6.273525721455458e-4,0.0013540961408259986,0,0.005696530295183843,0.0010666666666666667,0,0,0,0,0,7.541478129713424e-4,6.734006734006734e-4,0,5.221932114882506e-4,0.002317497103128621,0,0.0014395393474088292,Ukrainian
5.737234652897303e-4,0,0,0,0.0011419870574800152,0,7.293946024799417e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yiddish
